Date,Open,High,Low,Close,Adj Close,Volume
3/13/2015,39800.00,40125.00,39500.00,39875.00,36258.48,1531300.00
3/16/2015,39875.00,39875.00,39500.00,39575.00,35985.70,1532000.00
3/17/2015,39575.00,39850.00,38875.00,39000.00,35462.85,1361700.00
3/18/2015,38950.00,38950.00,37500.00,37500.00,34098.89,2161200.00
3/19/2015,38000.00,38500.00,38000.00,38300.00,34826.33,1517200.00
3/20/2015,38300.00,38475.00,38075.00,38300.00,34826.33,2131100.00
3/23/2015,38325.00,38800.00,38325.00,38625.00,35121.85,932500.00
3/24/2015,38650.00,39000.00,38625.00,38900.00,35371.91,2094800.00
3/25/2015,38750.00,38900.00,38700.00,38825.00,35303.71,2044500.00
3/26/2015,38750.00,39075.00,38500.00,38500.00,35008.19,1476500.00
3/27/2015,38700.00,39400.00,38700.00,39100.00,35553.77,1722000.00
3/30/2015,39400.00,39900.00,39400.00,39650.00,36053.89,1508000.00
3/31/2015,40500.00,40500.00,39650.00,39650.00,36053.89,3644100.00
4/1/2015,39200.00,39600.00,38975.00,39025.00,35485.57,1613900.00
4/2/2015,39550.00,39550.00,38975.00,39050.00,35508.30,1478600.00
4/6/2015,39075.00,39575.00,39075.00,39300.00,35735.64,375200.00
4/7/2015,39300.00,39900.00,39300.00,39800.00,36190.29,1432200.00
4/8/2015,39825.00,39875.00,38675.00,38700.00,35190.05,2800300.00
4/9/2015,38750.00,39350.00,38750.00,39350.00,35781.10,1584000.00
4/10/2015,39500.00,39500.00,39300.00,39400.00,35826.56,1134200.00
4/13/2015,39775.00,39775.00,39000.00,39775.00,36167.55,1309900.00
4/14/2015,39775.00,39775.00,38500.00,38750.00,35235.52,2352700.00
4/15/2015,39200.00,39200.00,38300.00,38625.00,35121.85,1601500.00
4/16/2015,38625.00,38925.00,37675.00,38100.00,34644.48,3174200.00
4/17/2015,38250.00,38650.00,38125.00,38125.00,34667.20,1193800.00
4/20/2015,38400.00,38625.00,38275.00,38400.00,34917.26,1225900.00
4/21/2015,38700.00,40000.00,38675.00,40000.00,36372.14,2415400.00
4/22/2015,40000.00,41075.00,39200.00,40350.00,36690.40,3475600.00
4/23/2015,40525.00,42500.00,40450.00,41750.00,37963.43,2926800.00
4/24/2015,43000.00,43425.00,42500.00,43000.00,39100.06,2003000.00
4/27/2015,40300.00,43000.00,40300.00,42075.00,38258.95,2170000.00
4/28/2015,42075.00,44500.00,41225.00,44500.00,40464.02,2020400.00
4/29/2015,44500.00,44500.00,39600.00,42250.00,38418.08,4907400.00
4/30/2015,41500.00,44100.00,40500.00,42600.00,38736.34,4228100.00
5/4/2015,42600.00,44100.00,42600.00,43000.00,39100.06,1383700.00
5/5/2015,43100.00,44300.00,43100.00,44175.00,40168.49,2123000.00
5/6/2015,43300.00,46000.00,43300.00,45175.00,41077.80,2621600.00
5/7/2015,45175.00,45500.00,43400.00,43400.00,39463.78,1769600.00
5/8/2015,44500.00,44800.00,44000.00,44000.00,40009.36,1773700.00
5/11/2015,44100.00,44450.00,43575.00,43650.00,39691.10,538600.00
5/12/2015,43900.00,43900.00,42500.00,42500.00,38645.41,1740200.00
5/13/2015,43500.00,43500.00,42300.00,42300.00,38463.55,1547800.00
5/15/2015,42150.00,43750.00,42150.00,43500.00,39554.71,1540300.00
5/18/2015,43550.00,43875.00,43150.00,43850.00,39872.97,782600.00
5/19/2015,43800.00,43950.00,43150.00,43850.00,39872.97,1799000.00
5/20/2015,43850.00,43850.00,43350.00,43350.00,39418.31,1197100.00
5/21/2015,43425.00,43775.00,42725.00,42850.00,38963.66,1290500.00
5/22/2015,43500.00,43900.00,43000.00,43775.00,39804.77,1897500.00
5/25/2015,43775.00,44550.00,43775.00,44400.00,40373.08,1389800.00
5/26/2015,44250.00,46000.00,44125.00,45725.00,41577.91,2922700.00
5/27/2015,45725.00,45775.00,44350.00,44500.00,40464.02,1574700.00
5/28/2015,44950.00,45125.00,44575.00,44950.00,40873.20,4047400.00
5/29/2015,44750.00,45400.00,43300.00,43300.00,39372.85,4156600.00
6/1/2015,43500.00,43700.00,43000.00,43200.00,39281.91,1022700.00
6/3/2015,43300.00,43675.00,42500.00,43600.00,39645.64,1879500.00
6/4/2015,43150.00,43575.00,42650.00,42650.00,38781.80,2597500.00
6/5/2015,42500.00,42600.00,42000.00,42150.00,38327.15,1779400.00
6/8/2015,42100.00,42150.00,40900.00,41550.00,37781.56,2599800.00
6/9/2015,41550.00,41550.00,39500.00,39700.00,36099.36,3370700.00
6/10/2015,39700.00,41575.00,39700.00,41350.00,37599.70,2088000.00
6/11/2015,41500.00,41950.00,40400.00,40650.00,36963.19,2320000.00
6/12/2015,40800.00,41700.00,40800.00,41225.00,37486.04,747200.00
6/15/2015,40900.00,41150.00,40300.00,40300.00,36644.94,1217300.00
6/16/2015,40000.00,40725.00,40000.00,40000.00,36751.52,1056200.00
6/17/2015,40400.00,41175.00,40400.00,40925.00,37601.39,1317700.00
6/18/2015,40925.00,41575.00,40925.00,41500.00,38129.70,1469000.00
6/19/2015,41500.00,42000.00,41450.00,41450.00,38083.76,1693500.00
6/22/2015,41700.00,41700.00,41025.00,41550.00,38175.64,855800.00
6/23/2015,41550.00,42125.00,40500.00,40500.00,37210.92,1260800.00
6/24/2015,41275.00,41400.00,41200.00,41400.00,38037.82,1506600.00
6/25/2015,41400.00,41475.00,40775.00,40775.00,37463.57,1446000.00
6/26/2015,40800.00,41100.00,39300.00,40000.00,36751.52,3001300.00
6/29/2015,40000.00,40000.00,39300.00,39625.00,36406.97,1946600.00
6/30/2015,39625.00,40975.00,39500.00,39500.00,36292.12,2744600.00
7/1/2015,39900.00,40450.00,39800.00,40000.00,36751.52,1035100.00
7/2/2015,40050.00,40975.00,40050.00,40325.00,37050.12,1437000.00
7/3/2015,40325.00,41375.00,40300.00,41375.00,38014.85,813300.00
7/6/2015,40850.00,41300.00,40500.00,40500.00,37210.92,666300.00
